,Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
3339,Mercedes Benz,clase_e,2014,3.5 E350 Avantgarde Sport B.eff At,18000,49000,4.0,sedan,Capital Federal
3340,Volkswagen,saveiro,2012,1.6 Ce 101cv Pack Electr.,84500,235000,2.0,pick_up,Buenos Aires Interior
3341,Volkswagen,amarok,2012,2.0 Cd Tdi 180cv 4x4 Startline A34,98000,560000,4.0,pick_up,Bs.as. G.b.a. Sur
3342,Volkswagen,amarok,2015,2.0 Cd Tdi 180cv 4x2 Trendline At,34000,670000,4.0,pick_up,Bs.as. G.b.a. Norte
3343,Volkswagen,gol,2015,1.4 Power 83cv 3 p,31000,180000,3.0,hatchback,Bs.as. G.b.a. Sur
3344,Volkswagen,fox,2012,1.6 Comfortline,85000,235000,5.0,hatchback,Bs.as. G.b.a. Sur
3345,Volkswagen,bora,2013,2.0 Trendline 115cv,102000,230000,4.0,sedan,Santa Fe
3346,Volkswagen,vento,2013,2.0 Sportline Tsi 200cv Dgs,98000,430000,4.0,sedan,Bs.as. G.b.a. Oeste
3347,Volkswagen,amarok,2011,2.0 Cd Tdi 122cv 4x4 Startline St9,168000,430000,4.0,pick_up,Córdoba
3348,Volkswagen,gol,2012,1.4 Power 83cv,98500,145000,3.0,hatchback,Bs.as. G.b.a. Sur
3349,Ford,ecosport,2012,1.6 My10 Xl Plus Mp3 4x2,98000,190000,5.0,suv,Bs.as. G.b.a. Oeste
3350,Ford,focus_iii,2014,2.0 Se Plus At6,37000,435000,5.0,hatchback,Bs.as. G.b.a. Oeste
3351,Volkswagen,fox,2011,1.6 Confortline,97003,189999,5.0,hatchback,Capital Federal
3352,Volkswagen,vento,2014,2.5 Luxury 170cv Tiptronic,43500,445000,4.0,sedan,Bs.as. G.b.a. Norte
3353,Ford,ecosport,2012,1.6 My10 Xl Plus Mp3 4x2,72000,205000,5.0,suv,Bs.as. G.b.a. Oeste
3354,Ford,focus_iii,2016,1.6 S,15290,398000,5.0,hatchback,Capital Federal
3355,Volkswagen,fox,2013,1.6 Comfortline Pack,69800,250000,5.0,hatchback,Bs.as. G.b.a. Oeste
3356,Volkswagen,suran,2013,1.6 Highline 101cv,74000,224990,5.0,minivan,Capital Federal
3357,Volkswagen,golf,2015,1.4 Highline Tsi Dsg,63000,600000,5.0,hatchback,Mendoza
3358,Volkswagen,gol_trend,2013,1.6 Pack I 101cv 3p,46724,175000,3.0,hatchback,Bs.as. G.b.a. Oeste
3359,Ford,ecosport,2015,1.6 Titanium 110cv 4x2,44000,354900,5.0,suv,Capital Federal
3360,Volkswagen,vento,2011,2.5 Luxury Tiptronic 170cv,109000,320000,4.0,sedan,Bs.as. G.b.a. Oeste
3361,Mercedes Benz,clase_glk,2013,3.0 Glk300 4matic Sport 231cv At,60000,690000,5.0,suv,Bs.as. G.b.a. Oeste
3362,Ford,fiesta_kinetic_design,2014,1.6 Se Plus 120cv,47000,270000,5.0,hatchback,Santa Fe
3363,Volkswagen,amarok,2015,2.0 Cd Tdi 180cv 4x4 Highline C34,76000,690000,4.0,pick_up,Buenos Aires Interior
3364,Ford,fiesta_kinetic_design,2012,1.6 Design 120cv Titanium,125000,230000,5.0,hatchback,Capital Federal
3365,Volkswagen,scirocco,2014,1.4 Tsi 160cv,60500,520000,2.0,coupe,Bs.as. Costa Atlántica
3366,Volkswagen,passat,2012,2.0 Luxury Tsi 211cv,108000,440000,4.0,sedan,Bs.as. G.b.a. Oeste
