,Make,Model,Year,Variant,Kms,Price,Doors,Kind,Location
0,Volkswagen,vento,2012,2.5 Luxury 170cv,99950,360000,4.0,sedan,Córdoba
1,Ford,ranger,2012,2.3 Cd Xl Plus 4x2,140000,320000,2.0,pick_up,Entre Ríos
2,Volkswagen,fox,2011,1.6 Trendline,132000,209980,5.0,hatchback,Bs.as. G.b.a. Sur
3,Ford,ranger,2017,3.2 Cd Xls Tdci 200cv Automática,13000,798000,4.0,pick_up,Neuquén
4,Volkswagen,gol,2013,1.4 Power 83cv 3 p,107000,146000,3.0,hatchback,Córdoba
5,Volkswagen,amarok,2014,2.0 Cd Tdi 180cv 4x4 Highline C34,115000,790000,4.0,pick_up,Buenos Aires Interior
6,Ford,ka,2012,1.0 Fly Viral 63cv,95243,142000,3.0,hatchback,Bs.as. G.b.a. Sur
7,Ford,ka,2012,1.6 Fly Viral 95cv,110000,148000,3.0,hatchback,Buenos Aires Interior
8,Ford,focus_iii,2017,1.6 S,17500,367000,5.0,hatchback,Buenos Aires Interior
9,Ford,fiesta_kinetic_design,2014,1.6 Sedan Titanium Powershift 120cv,43000,287000,4.0,sedan,Bs.as. G.b.a. Norte
10,Volkswagen,amarok,2014,2.0 Cd Tdi 4x4 Highline Pack At C34,79900,685000,4.0,pick_up,Bs.as. G.b.a. Norte
11,Ford,focus_ii,2012,1.6 Style Sigma,99000,219000,5.0,hatchback,Capital Federal
12,Ford,focus_iii,2014,2.0 Sedan Se Plus Mt,45000,300000,4.0,sedan,Capital Federal
13,Volkswagen,gol_trend,2013,1.6 Pack I 101cv,62000,190000,5.0,hatchback,Bs.as. G.b.a. Oeste
14,Volkswagen,amarok,2012,2.0 Cd Tdi 4x2 Highline Pack 2,117000,565000,4.0,pick_up,Buenos Aires Interior
15,Ford,focus_iii,2015,2.0 Se Plus Mt,55300,470000,5.0,hatchback,Bs.as. G.b.a. Oeste
16,Volkswagen,amarok,2011,2.0 Cd Tdi 163cv 4x2 Trendline 1t2,100000,450000,4.0,pick_up,Buenos Aires Interior
17,Volkswagen,gol,2011,1.4 Power Ps+ac 83cv,115000,150000,5.0,hatchback,Bs.as. G.b.a. Norte
18,Ford,ecosport,2012,1.6 My10 Xl Plus Mp3 4x2,110000,215000,5.0,suv,Bs.as. G.b.a. Oeste
19,Volkswagen,up!,2015,1.0 Take Up! Aa 75cv,38000,220000,3.0,hatchback,Bs.as. G.b.a. Sur
20,Volkswagen,bora,2011,1.8 Highline T Tiptronic Cuero,85000,225000,4.0,sedan,Tierra Del Fuego
21,Ford,fiesta_kinetic_design,2014,1.6 Titanium 120cv,51000,355000,5.0,hatchback,Capital Federal
22,Volkswagen,gol_trend,2015,1.6 Trendline 101cv 3p,19000,215000,3.0,hatchback,Bs.as. G.b.a. Oeste
23,Volkswagen,fox,2012,1.6 Highline,55000,220000,5.0,hatchback,Santa Fe
24,Mercedes Benz,sprinter,2015,2.1 415 3665 Te Mixto 4+1 Silver,45000,999999,2.0,furgon,Capital Federal
25,Volkswagen,fox,2011,1.6 Highline,79800,215000,5.0,hatchback,Capital Federal
26,Honda,civic,2011,1.8 Exs At,120000,295000,4.0,sedan,Buenos Aires Interior
27,Volkswagen,saveiro,2014,1.6 Cs 101cv,90000,240000,2.0,pick_up,Buenos Aires Interior
28,Volkswagen,gol_trend,2013,1.6 Pack I 101cv,99600,208000,5.0,hatchback,Bs.as. G.b.a. Norte
29,Volkswagen,saveiro,2017,1.6 Gp Ce 101cv Safety + Pack High,20000,370000,2.0,pick_up,Córdoba
30,Volkswagen,gol,2012,1.4 Power Ps+ac 83cv,94000,165000,5.0,hatchback,Bs.as. G.b.a. Oeste
31,Volkswagen,amarok,2013,2.0 Cs Tdi 140cv 4x2 Startline,108264,480000,2.0,pick_up,Mendoza
32,Volkswagen,gol_trend,2013,1.6 Pack Ii 101cv,108000,220000,5.0,hatchback,Bs.as. G.b.a. Sur
33,Volkswagen,amarok,2012,2.0 Cd Tdi 180cv 4x2 Trendline B33,176000,459000,4.0,pick_up,Bs.as. G.b.a. Norte
34,Volkswagen,vento,2013,2.0 Sportline Tsi 200cv,68200,530000,4.0,sedan,Bs.as. G.b.a. Sur
35,Ford,focus_iii,2016,2.0 Sedan Se Plus Mt,15022,550000,4.0,sedan,Bs.as. G.b.a. Sur
36,Volkswagen,voyage,2013,1.6 101cv,56000,240000,4.0,sedan,Bs.as. G.b.a. Sur
37,Ford,fiesta,2012,1.6 Max One Ambiente Plus 98cv,77000,230000,4.0,sedan,Bs.as. G.b.a. Sur
38,Mercedes Benz,clase_glk,2012,3.0 Glk300 4matic Sport 231cv At,98000,719990,5.0,suv,Capital Federal
39,Ford,focus_iii,2013,2.0 Sedan Titanium Mt,85000,440000,4.0,sedan,Capital Federal
40,Volkswagen,tiguan,2011,2.0 Sport & Style Tsi 200cv Tiptronic,89000,389000,5.0,suv,Capital Federal
41,Honda,city,2013,1.5 Ex-l At 120cv,96000,298000,4.0,sedan,Bs.as. G.b.a. Norte
42,Volkswagen,amarok,2012,2.0 Cd Tdi 122cv 4x2 Startline S22,118500,440000,4.0,pick_up,Bs.as. G.b.a. Sur
43,Ford,ka,2011,1.0 Fly Viral Usb/bluetooth,82000,145000,3.0,hatchback,Bs.as. G.b.a. Oeste
44,Honda,fit,2012,1.5 Ex-l At 120cv l09,104000,325000,5.0,hatchback,Capital Federal
45,Volkswagen,passat,2012,2.0 Luxury Tsi 211cv,118000,420000,4.0,sedan,Bs.as. G.b.a. Norte
46,Volkswagen,gol_trend,2012,1.6 Pack I 101cv,69000,160000,5.0,hatchback,Bs.as. G.b.a. Oeste
47,Ford,ka,2012,1.0 Fly Viral 63cv,50000,145000,3.0,hatchback,Bs.as. G.b.a. Sur
48,Mercedes Benz,clase_glk,2013,3.5 Glk300 4matic 247cv At,93000,780000,5.0,suv,Santa Fe
49,Ford,focus_iii,2016,1.6 S,39000,454800,5.0,hatchback,Bs.as. G.b.a. Sur
50,Volkswagen,golf,2015,1.6 Trendline,62954,350000,5.0,hatchback,Bs.as. G.b.a. Oeste
51,Ford,ranger,2015,3.2 Cd 4x4 Limited Tdci 200cv At,60000,770000,4.0,pick_up,Misiones
52,Volkswagen,voyage,2014,1.6 Highline 101cv,64000,230000,4.0,sedan,Bs.as. G.b.a. Sur
53,Volkswagen,the_beetle,2014,1.4 Design Dsg,30000,550000,3.0,hatchback,Santa Fe
54,Volkswagen,suran,2013,1.6 Highline 101cv,70000,275000,5.0,minivan,La Pampa
55,Ford,fiesta_kinetic_design,2013,1.6 Titanium 120cv,85000,285000,5.0,hatchback,Bs.as. G.b.a. Oeste
56,Mercedes Benz,clase_c,2011,1.8 C200 Avantgarde B.efficiency At,62847,499999,4.0,sedan,Bs.as. G.b.a. Oeste
57,Ford,mondeo,2018,2.0 Se Ecoboost At 240cv,15000,1200000,4.0,sedan,Entre Ríos
58,Volkswagen,suran,2015,1.6 Comfortline 101cv Ab,16000,310000,5.0,minivan,Bs.as. G.b.a. Oeste
59,Volkswagen,cc,2012,2.0 Luxury Dsg Tsi 211cv,80000,420000,4.0,sedan,Chaco
60,Volkswagen,gol_trend,2011,1.6 Pack I Plus 101cv,41000,180000,5.0,hatchback,Bs.as. G.b.a. Sur
61,Volkswagen,suran,2014,1.6 Comfortline 101cv,45000,260000,5.0,minivan,Bs.as. G.b.a. Sur
62,Ford,focus_ii,2013,1.6 Trend Sigma,110000,250000,5.0,hatchback,Bs.as. G.b.a. Sur
63,Volkswagen,gol_trend,2011,1.6 Pack I 101cv,90000,160000,5.0,hatchback,Mendoza
64,Volkswagen,polo,2018,1.6 Comfortline,8733,470000,4.0,sedan,Capital Federal
65,Volkswagen,golf,2015,1.4 Comfortline Tsi Dsg,83000,490000,5.0,hatchback,Capital Federal
66,Volkswagen,gol_trend,2014,1.6 Trendline 101cv,74000,225000,5.0,hatchback,Bs.as. G.b.a. Norte
67,Ford,focus_ii,2013,1.6 Trend Sigma,74500,284500,5.0,hatchback,Bs.as. G.b.a. Sur
68,Volkswagen,bora,2012,1.8 Highline T Tiptronic Cuero,78000,300000,4.0,sedan,Capital Federal
69,Volkswagen,voyage,2015,1.6 Comfortline 101cv,75069,288000,4.0,sedan,Bs.as. G.b.a. Norte
70,Volkswagen,fox,2013,1.6 Confortline Pack,39500,228000,5.0,hatchback,Capital Federal
71,Ford,ecosport,2017,1.6 Titanium 110cv 4x2,19500,565000,5.0,suv,Buenos Aires Interior
72,Honda,cr_v,2011,2.4 Ex L At 4wd,108046,430000,5.0,suv,Bs.as. G.b.a. Norte
73,Volkswagen,vento,2016,2.5 Advance Plus 170cv Tiptronic,59000,500000,4.0,sedan,Santa Fe
74,Ford,ecosport,2015,2.0 Titanium 143cv 4x2,69921,449000,5.0,suv,Capital Federal
75,Volkswagen,fox,2012,1.6 Highline,71000,230000,5.0,hatchback,Mendoza
76,Volkswagen,fox,2013,1.6 Confortline,96000,210000,5.0,hatchback,Bs.as. G.b.a. Oeste
77,Ford,fiesta_kinetic_design,2012,1.6 Design Sedan 120cv Trend,125000,235000,4.0,sedan,Bs.as. G.b.a. Norte
78,Volkswagen,gol_trend,2015,1.6 Pack I 101cv,35000,250000,5.0,hatchback,Bs.as. G.b.a. Sur
79,Volkswagen,gol_trend,2011,1.6 Pack I 101cv,89500,180000,5.0,hatchback,Bs.as. G.b.a. Oeste
80,Ford,fiesta_kinetic_design,2014,1.6 S 120cv,48000,295000,5.0,hatchback,Bs.as. G.b.a. Sur
81,Mercedes Benz,vito,2016,1.6 111 Cdi Furgon Mixto Aa 114cv,58000,740000,2.0,furgon,Bs.as. G.b.a. Sur
82,Ford,ka,2012,1.6 Fly Viral 95cv,63000,152000,3.0,hatchback,Bs.as. G.b.a. Norte
83,Volkswagen,bora,2011,2.0 Trendline 115cv,67000,250000,4.0,sedan,Bs.as. G.b.a. Norte
84,Volkswagen,vento,2014,2.5 Luxury 170cv Tiptronic,65000,470000,4.0,sedan,Córdoba
85,Ford,focus_iii,2016,1.6 S,11500,465000,5.0,hatchback,Capital Federal
86,Volkswagen,suran,2015,1.6 Highline Msi 110cv,67900,298000,5.0,minivan,Bs.as. G.b.a. Norte
87,Volkswagen,suran,2014,1.6 Imotion Highline,48000,270000,5.0,minivan,Capital Federal
88,Volkswagen,gol_trend,2012,1.6 Pack Iii 101cv,57200,220000,5.0,hatchback,Bs.as. G.b.a. Norte
89,Volkswagen,gol_trend,2013,1.6 Pack I 101cv,96000,190000,5.0,hatchback,Salta
90,Volkswagen,gol_trend,2014,1.6 Pack I 101cv,96000,239000,5.0,hatchback,Bs.as. G.b.a. Sur
91,Chrysler,town_&_country,2012,3.6 Limited Atx,57000,800000,5.0,minivan,Bs.as. G.b.a. Sur
92,Honda,city,2012,1.5 Ex-l Mt 120cv,127500,245000,4.0,sedan,Bs.as. G.b.a. Norte
93,Ford,focus_iii,2015,2.0 Se Plus Mt,41000,450000,5.0,hatchback,Santa Fe
94,Ford,ka,2011,1.6 Fly Viral 95cv,90000,175000,3.0,hatchback,Bs.as. G.b.a. Sur
95,Ford,fiesta_kinetic_design,2012,1.6 Design 120cv Titanium,128000,216000,5.0,hatchback,Bs.as. G.b.a. Oeste
96,Volkswagen,suran,2011,1.6 Comfortline 101cv 11a,62000,195000,5.0,minivan,Bs.as. G.b.a. Norte
97,Volkswagen,suran,2015,1.6 Highline 101cv,74000,296000,5.0,minivan,Bs.as. G.b.a. Sur
98,Volkswagen,amarok,2016,2.0 Cs Tdi 140cv 4x2 Startline,28000,480000,2.0,pick_up,Buenos Aires Interior
99,Volkswagen,saveiro,2016,1.6 Gp Cd 101cv Pack High,22000,380000,2.0,pick_up,Bs.as. G.b.a. Oeste
100,Volkswagen,suran,2012,1.6 Comfortline 101cv 11a,73500,190000,5.0,minivan,Bs.as. Costa Atlántica
101,Volkswagen,gol_trend,2015,1.6 Pack I 101cv 3p,24700,200000,3.0,hatchback,Bs.as. G.b.a. Norte
102,Ford,ka,2013,1.0 Fly Viral 63cv,60000,160000,3.0,hatchback,Capital Federal
103,Ford,focus_iii,2016,2.0 Se,37000,460000,5.0,hatchback,Capital Federal
104,Volkswagen,bora,2013,2.0 Trendline 115cv,70000,240000,4.0,sedan,Capital Federal
105,Ford,fiesta_kinetic_design,2011,1.6 Design 120cv Titanium,127000,200000,5.0,hatchback,Buenos Aires Interior
106,Ford,focus_iii,2015,2.0 Se Plus Mt,37000,420000,5.0,hatchback,Capital Federal
107,Volkswagen,saveiro,2015,1.6 Gp Ce 101cv Pack Electr.+seg.,35000,370000,2.0,pick_up,Bs.as. G.b.a. Sur
108,Volkswagen,amarok,2012,2.0 Cd Tdi 122cv 4x2 Startline S22,100000,450000,4.0,pick_up,Bs.as. G.b.a. Oeste
109,Ford,ka,2012,1.6 Fly Viral 95cv,104000,165000,3.0,hatchback,Córdoba
110,Ford,ranger,2014,3.2 Cd 4x2 Xlt Tdci 200cv,65000,610000,4.0,pick_up,Bs.as. G.b.a. Norte
111,Volkswagen,gol,2011,1.6 I Power 701,117000,121500,3.0,hatchback,Bs.as. G.b.a. Oeste
112,Ford,ecosport,2015,1.6 Se 110cv 4x2,50928,369000,5.0,suv,Bs.as. G.b.a. Norte
113,Volkswagen,up!,2016,1.0 Move Up! 75cv,54000,240000,3.0,hatchback,Bs.as. G.b.a. Norte
114,Ford,ecosport,2013,1.5 Se Tdci 90cv 4x2,51000,275000,5.0,suv,Bs.as. G.b.a. Sur
115,Volkswagen,amarok,2015,2.0 Cd Tdi 140cv 4x2 Startline,47000,570000,4.0,pick_up,Buenos Aires Interior
116,Ford,ecosport,2015,1.6 Se 110cv 4x2,58502,310000,5.0,suv,Bs.as. G.b.a. Oeste
117,Ford,fiesta_kinetic_design,2013,1.6 Design 120cv Titanium,61000,250000,5.0,hatchback,Bs.as. G.b.a. Oeste
118,Volkswagen,scirocco,2012,1.4 Tsi 160cv,83000,590000,2.0,coupe,Córdoba
119,Ford,ecosport,2013,1.6 Se 110cv 4x2,50500,350000,5.0,suv,Capital Federal
120,Ford,ecosport,2011,2.0 My10 Xlt Plus 4x2,89500,238000,5.0,suv,Buenos Aires Interior
121,Volkswagen,vento,2013,2.5 Luxury 170cv Tiptronic,95000,387500,4.0,sedan,Bs.as. G.b.a. Norte
122,Volkswagen,bora,2013,2.0 Trendline 115cv,100000,245000,4.0,sedan,Santa Cruz
123,Volkswagen,gol_trend,2013,1.6 Pack Iii 101cv I-motion,51000,259000,5.0,hatchback,Capital Federal
124,Ford,ecosport,2013,1.6 Titanium 110cv 4x2,69000,369900,5.0,suv,Capital Federal
125,Ford,ecosport,2013,1.6 Se 110cv 4x2,100000,309000,5.0,suv,Córdoba
126,Volkswagen,vento,2014,2.0 Sportline Tsi 200cv Dgs,72000,425000,4.0,sedan,Bs.as. G.b.a. Norte
127,Volkswagen,vento,2011,2.5 Luxury Tiptronic 170cv,123000,320000,4.0,sedan,Bs.as. G.b.a. Oeste
128,Ford,focus_iii,2016,2.0 Se Plus At6,24000,580000,5.0,hatchback,Córdoba
129,Volkswagen,gol_trend,2013,1.6 Pack I 101cv 3p,50000,195000,3.0,hatchback,Capital Federal
130,Volkswagen,voyage,2017,1.6 Trenline 101cv,18000,285000,4.0,sedan,Capital Federal
131,Ford,focus_iii,2016,1.6 S,49000,510000,5.0,hatchback,Buenos Aires Interior
132,Volkswagen,suran,2015,1.6 Comfortline 101cv Ab,29000,360000,5.0,minivan,Mendoza
133,Volkswagen,suran,2013,1.6 Comfortline 101cv Ab,77000,255000,5.0,minivan,Bs.as. G.b.a. Sur
134,Volkswagen,amarok,2015,2.0 Cd Tdi 180cv 4x2 Trendline B33,91000,580000,4.0,pick_up,Bs.as. G.b.a. Norte
135,Ford,ecosport,2014,1.6 Se 110cv 4x2,54000,388000,5.0,suv,Buenos Aires Interior
136,Ford,ranger,2016,3.2 Cd 4x4 Xls Tdci 200cv Manual,85000,790000,4.0,pick_up,Bs.as. G.b.a. Sur
137,Volkswagen,fox,2012,1.6 Comfortline,83000,230000,5.0,hatchback,Capital Federal
138,Volkswagen,fox,2011,1.6 Highline,81000,255000,5.0,hatchback,Capital Federal
139,Volkswagen,gol_trend,2013,1.6 Pack I 101cv,80000,205000,5.0,hatchback,Corrientes
140,Volkswagen,voyage,2013,1.6 Comfortline 101cv,60000,215000,4.0,sedan,Capital Federal
141,Volkswagen,bora,2013,1.9 Trendline I 100cv,90000,300000,4.0,sedan,Bs.as. G.b.a. Sur
142,Ford,fiesta_kinetic_design,2011,1.6 Design 120cv Titanium,78000,269000,5.0,hatchback,Bs.as. G.b.a. Oeste
143,Honda,fit,2012,1.4 Lx-l Mt 100cv l12,85000,230000,5.0,hatchback,Capital Federal
144,Volkswagen,cc,2011,3.6 V6 Fsi Highline 300cv,92000,620000,4.0,sedan,Bs.as. G.b.a. Norte
145,Ford,fiesta_kinetic_design,2013,1.6 Design 120cv Titanium,74000,245000,5.0,hatchback,Bs.as. G.b.a. Oeste
146,Volkswagen,amarok,2011,2.0 Cd Tdi 163cv 4x2 Starline St3,127000,480000,4.0,pick_up,Mendoza
147,Ford,fiesta_kinetic_design,2014,1.6 Design 120cv Titanium,51000,360000,5.0,hatchback,Córdoba
148,Honda,fit,2014,1.5 Ex-l Mt 120cv,40000,340000,5.0,hatchback,Mendoza
149,Volkswagen,gol_trend,2011,1.6 Pack I 101cv,96000,192000,5.0,hatchback,Bs.as. G.b.a. Norte
150,Volkswagen,suran,2012,1.6 Trendline 11b,89000,218500,5.0,minivan,Capital Federal
151,Volkswagen,gol,2012,1.4 Power Ps+ac 83cv,108000,145000,5.0,hatchback,Bs.as. G.b.a. Oeste
152,Volkswagen,gol_trend,2017,1.6 Trendline 101cv 3p,7500,290000,3.0,hatchback,Buenos Aires Interior
153,Ford,fiesta_kinetic_design,2012,1.6 Design 120cv Titanium,98000,290000,5.0,hatchback,Córdoba
154,Ford,focus_iii,2016,2.0 Sedan Se Plus At6,41000,480000,4.0,sedan,Bs.as. G.b.a. Oeste
155,Volkswagen,saveiro,2014,1.6 Ce 101cv Pack Electr. + Seg.,146000,225000,2.0,pick_up,Buenos Aires Interior
156,Volkswagen,suran,2012,1.6 Trendline 11b,48000,254000,5.0,minivan,Bs.as. G.b.a. Sur
157,Volkswagen,fox,2014,1.6 Confortline,74444,245000,5.0,hatchback,Bs.as. G.b.a. Oeste
158,Volkswagen,gol,2011,1.6 I Power 701,73500,115000,3.0,hatchback,Capital Federal
159,Volkswagen,suran,2012,1.6 Comfortline 101cv 11a,80000,220000,5.0,minivan,Bs.as. G.b.a. Oeste
160,Ford,ranger,2016,3.2 Cd 4x2 Xlt At Tdci 200cv,81500,799000,4.0,pick_up,Bs.as. G.b.a. Norte
161,Mercedes Benz,clase_c,2013,1.8 C250 Coupe Sport B.efficiency At,33000,29500,4.0,sedan,Capital Federal
162,Ford,focus_ii,2012,1.6 Trend Sigma,88000,260000,5.0,hatchback,Buenos Aires Interior
163,Ford,ecosport,2011,1.6 My10 Xl Plus Mp3 4x2,140000,225000,5.0,suv,Buenos Aires Interior
164,Volkswagen,bora,2011,1.8 Highline T 180cv,92000,259000,4.0,sedan,Bs.as. G.b.a. Oeste
165,Volkswagen,bora,2011,2.0 Trendline 115cv,98000,249000,4.0,sedan,Bs.as. G.b.a. Oeste
166,Ford,ka,2013,1.0 Fly Viral 63cv,35000,160000,3.0,hatchback,Bs.as. G.b.a. Oeste
167,Ford,ranger,2014,3.2 Cd 4x4 Xlt Tdci 200cv,80000,700000,4.0,pick_up,Bs.as. G.b.a. Sur
168,Volkswagen,gol,2013,1.4 Power Ps+ac 83cv,63000,180000,5.0,hatchback,Bs.as. G.b.a. Norte
169,Volkswagen,gol_trend,2012,1.6 Pack I 101cv,104000,185000,5.0,hatchback,Buenos Aires Interior
170,Volkswagen,vento,2014,2.5 Luxury 170cv,38000,350000,4.0,sedan,Bs.as. G.b.a. Norte
171,Volkswagen,suran,2015,1.6 Comfortline 101cv Ab,40000,340000,5.0,minivan,Bs.as. G.b.a. Norte
172,Volkswagen,amarok,2017,2.0 Cd Tdi 140cv Trendline,40000,700000,4.0,pick_up,Córdoba
173,Volkswagen,saveiro,2015,1.6 Gp Ce 101cv Safety + Pack High,70000,280000,2.0,pick_up,Buenos Aires Interior
174,Volkswagen,bora,2011,2.0 Trendline 115cv,102000,260000,4.0,sedan,Buenos Aires Interior
175,Volkswagen,gol_trend,2016,1.6 Serie 101cv 5p,27000,245000,5.0,hatchback,Capital Federal
176,Volkswagen,golf,2016,1.4 Comfortline Tsi,25000,650000,5.0,hatchback,Bs.as. Costa Atlántica
177,Volkswagen,amarok,2015,2.0 Cd Tdi 4x4 Highline Pack At C34,90000,790000,4.0,pick_up,Bs.as. G.b.a. Oeste
178,Ford,ecosport,2013,1.6 Se 110cv 4x2,90000,305000,5.0,suv,Buenos Aires Interior
179,Ford,ranger,2014,3.2 Cd 4x4 Limited Tdci 200cv At,81000,840000,4.0,pick_up,Bs.as. Costa Atlántica
180,Ford,ka,2012,1.6 Pulse 95cv,47000,170000,3.0,hatchback,Bs.as. G.b.a. Oeste
181,Volkswagen,saveiro,2011,1.6 Ce 101cv Pack Electr.,125000,218000,2.0,pick_up,Córdoba
182,Mercedes Benz,sprinter,2016,2.1 415 Furgon 3250 Tn Mixto 4+1,22000,1030000,2.0,furgon,Bs.as. G.b.a. Sur
183,Volkswagen,cc,2011,2.0 Tsi Luxury Dsg 200cv,82000,450000,4.0,sedan,Bs.as. Costa Atlántica
184,Volkswagen,saveiro,2015,1.6 Gp Cs 101cv Aa+hd+safety,15000,265000,2.0,pick_up,Capital Federal
185,Volkswagen,gol_trend,2012,1.6 Pack Ii 101cv,51800,190000,5.0,hatchback,Córdoba
186,Mercedes Benz,clase_cla,2014,1.6 Cla200 Coupe Urban 156cv Mt,62000,790000,2.0,coupe,Buenos Aires Interior
187,Volkswagen,golf,2017,1.4 Highline Tsi Dsg,16000,890000,5.0,hatchback,Bs.as. G.b.a. Oeste
188,Volkswagen,fox,2013,1.6 Comfortline,64000,252000,5.0,hatchback,Bs.as. G.b.a. Sur
189,Ford,focus_iii,2014,2.0 Sedan Se,65000,370000,4.0,sedan,Neuquén
190,Ford,ecosport,2011,1.6 My10 Xl Plus Mp3 4x2,107000,194000,5.0,suv,Tucumán
191,Volkswagen,amarok,2011,2.0 Cd Tdi 4x2 Highline Pack 1p2,103000,595000,4.0,pick_up,Bs.as. G.b.a. Sur
192,Volkswagen,gol_trend,2013,1.6 Pack I 101cv,86000,175000,5.0,hatchback,Corrientes
193,Volkswagen,voyage,2016,1.6 Highline 101cv,51000,260000,4.0,sedan,Bs.as. G.b.a. Norte
194,Honda,fit,2014,1.5 Ex-l At 120cv,103000,375000,5.0,hatchback,Capital Federal
195,Ford,ecosport,2011,1.6 My10 Xls Plus 4x2,108000,239000,5.0,suv,Santa Fe
196,Ford,mondeo,2016,2.0 Titanium Ecoboost At 240cv,65000,800000,4.0,sedan,Buenos Aires Interior
197,Ford,focus_iii,2016,2.0 Sedan Se Plus Mt,25000,480000,4.0,sedan,Bs.as. G.b.a. Sur
198,Ford,fiesta_kinetic_design,2012,1.6 Design Sedan 120cv Trend,84000,245000,4.0,sedan,Capital Federal
199,Volkswagen,fox,2012,1.6 Trendline,43000,215000,5.0,hatchback,Bs.as. G.b.a. Oeste
200,Ford,ka,2011,1.6 Fly Viral Usb/bluetooth,150000,159000,3.0,hatchback,Córdoba
201,Ford,focus_iii,2014,2.0 Se,68000,395000,5.0,hatchback,Bs.as. G.b.a. Norte
202,Ford,focus_iii,2014,2.0 Titanium At6,48000,14000,5.0,hatchback,Bs.as. G.b.a. Norte
203,Honda,civic,2012,1.8 Lxs Mt 140cv,87000,260000,4.0,sedan,Bs.as. G.b.a. Sur
204,Ford,fiesta_kinetic_design,2015,1.6 S 120cv,60000,275500,5.0,hatchback,Salta
205,Volkswagen,amarok,2012,2.0 Cd Tdi 163cv 4x2 Highline 2h2,126000,430000,4.0,pick_up,Bs.as. G.b.a. Oeste
206,Volkswagen,suran,2014,1.6 Comfortline 101cv Ab,49000,245000,5.0,minivan,Capital Federal
207,Ford,ranger,2013,2.2 Cd 4x2 Xl Safety Tdci 125cv,111111,395000,2.0,pick_up,Bs.as. G.b.a. Sur
208,Ford,ecosport,2011,1.6 My10 Xls 4x2,90600,210000,5.0,suv,Bs.as. G.b.a. Sur
209,Volkswagen,amarok,2013,2.0 Cd Tdi 4x2 Highline Pack C33,103000,700000,4.0,pick_up,Santa Fe
210,Volkswagen,amarok,2015,2.0 Cd Tdi 140cv 4x2 Startline,57000,470000,4.0,pick_up,Neuquén
211,Ford,fiesta_kinetic_design,2014,1.6 Se Plus 120cv,70000,260000,5.0,hatchback,Buenos Aires Interior
212,Volkswagen,vento,2012,2.0 Sportline Tsi 200cv,58000,500000,4.0,sedan,Bs.as. G.b.a. Oeste
213,Ford,fiesta_kinetic_design,2012,1.6 Design Sedan 120cv Trend,125000,235000,4.0,sedan,Bs.as. G.b.a. Norte
214,Volkswagen,gol_trend,2012,1.6 Pack I 101cv,74000,150000,5.0,hatchback,Bs.as. G.b.a. Sur
215,Volkswagen,gol_trend,2012,1.6 Pack I 101cv,102000,204900,5.0,hatchback,Capital Federal
216,Ford,ecosport,2013,1.6 Se 110cv 4x2,88000,345000,5.0,suv,Bs.as. G.b.a. Oeste
217,Volkswagen,suran,2012,1.6 Highline 101cv 11c,58000,280000,5.0,minivan,Capital Federal
218,Ford,ranger,2013,3.2 Cd 4x4 Xls Tdci 200cv,98000,570000,4.0,pick_up,Neuquén
219,Ford,ranger,2015,3.2 Cd 4x2 Xlt Tdci 200cv,80000,640000,4.0,pick_up,Capital Federal
220,Honda,civic,2013,1.8 Exs At 140cv,68000,430000,4.0,sedan,Bs.as. G.b.a. Norte
221,Volkswagen,fox,2011,1.6 Trendline,120000,189000,5.0,hatchback,Bs.as. G.b.a. Sur
222,Volkswagen,gol,2013,1.4 Power Ps+ac 83cv,60000,172000,5.0,hatchback,Bs.as. G.b.a. Oeste
223,Ford,fiesta,2011,1.6 Max One Ambiente,73000,145000,4.0,sedan,Capital Federal
224,Ford,fiesta,2011,1.4 Max One Tdci Edge,150000,155000,4.0,sedan,Bs.as. G.b.a. Oeste
225,Volkswagen,gol_trend,2015,1.6 Pack I Abcp Abs 101cv,12000,239900,5.0,hatchback,Bs.as. G.b.a. Sur
226,Ford,ranger,2012,3.0 Cd Xl Plus 4x2,70000,360000,2.0,pick_up,Capital Federal
227,Honda,cr_v,2012,2.4 Lx At 2wd (mexico),108000,420000,5.0,suv,Bs.as. G.b.a. Sur
228,Volkswagen,gol_trend,2014,1.6 Trendline 101cv,81000,245000,5.0,hatchback,Bs.as. G.b.a. Oeste
229,Honda,fit,2011,1.5 Ex Mt 120cv,117000,250000,5.0,hatchback,Capital Federal
230,Ford,focus_ii,2011,2.0 Trend,138000,208000,5.0,hatchback,Capital Federal
231,Volkswagen,bora,2011,1.9 Trendline I 100cv,95000,255000,4.0,sedan,Bs.as. G.b.a. Oeste
232,Volkswagen,gol,2011,1.6 I Power 701,150000,130000,3.0,hatchback,Bs.as. G.b.a. Sur
233,Ford,fiesta_kinetic_design,2017,1.6 Sedan Titanium 120cv,28438,435000,4.0,sedan,Buenos Aires Interior
234,Ford,ecosport,2015,2.0 Freestyle 143 4x4,43000,459000,5.0,suv,Capital Federal
235,Volkswagen,amarok,2017,2.0 Cd Tdi 140cv Trendline Llantas16,26700,698000,4.0,pick_up,Bs.as. G.b.a. Sur
236,Ford,ka,2011,1.6 Pulse 95cv,90000,145000,3.0,hatchback,Santa Fe
237,Ford,fiesta_kinetic_design,2013,1.6 Design 120cv Titanium,77000,270000,5.0,hatchback,Bs.as. G.b.a. Norte
